video_id,title,published_at,duration_seconds,view_count,like_count,comment_count
3DFjb4fRfGY,revisiting the piano❤️‍🩹,2025-01-13T19:00:06Z,21.0,8686,925,6
h6eWDJiT81w,LOL it kinda worked,2025-01-12T19:00:33Z,11.0,18177,1559,7
fASCZXeM-jg,how do i even prepare for this? praying for everyone else affected by the fires🫶,2025-01-11T19:00:21Z,33.0,15661,1997,23
QLHJt3yZV20,throwback🤭👀,2025-01-10T19:00:18Z,9.0,10841,720,8
EdW0Vd99pZY,"trust the process, see the vision🙏😭",2025-01-09T19:00:09Z,16.0,17789,1203,24
Hd3pWACGvAw,IN WITH THE NEW💇🏻‍♀️,2025-01-08T19:00:17Z,10.0,10992,871,13
PNI-foGc00o,THE BILLBOARD⁉️,2025-01-07T19:00:16Z,16.0,11894,1165,9
FZkp5dBaNlk,get excited for this new year😋,2025-01-06T19:00:12Z,13.0,17380,1463,8
J6_A27a9qOE,all the fashion girlies can relate,2025-01-05T19:00:11Z,9.0,5020,394,4
LGmR-XJYRSE,throwing together everything🤗,2025-01-04T19:00:21Z,8.0,5843,388,6
4Z1liFo_amI,HEARING MY SONG IN PUBLIC🫣🤗,2025-01-02T19:00:03Z,29.0,6357,739,11
vVFL52ZVCFU,sweet treat is a MUST.,2025-01-01T19:00:24Z,8.0,9621,591,5
5AUpxr0ggTA,whoops!,2024-12-31T19:00:02Z,28.0,5932,453,10
sNYpLfY-EAI,LITERALLY FOUR ZIPPERS😭,2024-12-30T19:00:28Z,13.0,8019,722,14
-mFAHZihcic,BUTTTT we are obsessed,2024-12-29T19:00:00Z,11.0,6372,645,13
AYCHJZRcaPA,canadian meets the beach LOL,2024-12-28T19:00:09Z,19.0,7368,614,6
YvjuckqUly8,my first love🩰🫶,2024-12-27T19:00:20Z,26.0,27854,2508,14
_nE7DdB2FNI,the art that built and broke me.,2024-12-26T19:00:28Z,28.0,78459,5771,22
MQ7A23JC1To,mama connie has STYLE,2024-12-25T19:00:09Z,6.0,10160,601,6
Hr-Tb9kdT3c,the perfect vacation song🎧,2024-12-24T19:00:16Z,8.0,9663,808,18
WiDlubsvRng,your casual outfit check,2024-12-22T19:00:24Z,11.0,5457,636,8
9MRbn_ruaa8,it’s hectic out here.,2024-12-21T19:00:08Z,26.0,5815,535,9
AMwup3BZlD0,we LOVE beabadoobee,2024-12-20T19:00:12Z,16.0,6270,448,9
jOiN7AfCLDA,can you guys do this😭,2024-12-17T19:00:19Z,22.0,15471,962,8
4ELb9lQ9vEw,she gets it✨…kinda,2024-12-16T19:00:03Z,17.0,6111,563,8
OUzoq5kbV3s,the third one is actually insane,2024-12-13T19:00:25Z,22.0,9109,786,23
wH4_vCIaY6Y,TWO MILLION IS INSANE🥹,2024-12-11T23:00:45Z,17.0,7719,628,10
9o1fJsULsE0,i’ve been through enough to know…,2024-12-09T19:00:08Z,6.0,10367,860,0
W6oXJCZv-nw,it’s giving detective🕵🏻‍♀️,2024-12-06T19:00:24Z,14.0,6118,732,14
n6FbFg0V3yM,MY REACTION WAS SO BAD BRO,2024-12-05T19:00:28Z,60.0,6487,771,10
1b_PCL_UzCA,the trauma stays😭,2024-12-04T19:00:01Z,28.0,5321,491,15
rwOMj4XFkdM,what is going on inside her head🤔🧠,2024-12-03T19:00:35Z,29.0,13668,1019,8
LYLCagecZX0,DECORATE MY APARTMENT WITH ME🖼️,2024-12-02T19:00:16Z,60.0,8194,790,8
oiQcFvb-r08,I WAS IN PAIN,2024-12-01T19:00:33Z,51.0,7095,616,6
0rbH7sObyuA,great gatsby vibes⁉️,2024-11-30T19:00:00Z,11.0,8236,842,7
PNJaa4ZavJs,i’m actually this tall…,2024-11-29T19:00:26Z,10.0,6931,579,5
Kl5v-NFuqLs,i dance better when my outfit EATS,2024-11-28T19:00:21Z,16.0,6931,558,12
WXwrGExGI78,safety over style💅,2024-11-27T19:00:13Z,9.0,9044,687,15
A-uo7BDgaY8,i wore dove cameron’s dress👗🤭,2024-11-26T19:00:05Z,30.0,287622,21625,33
MFXEwTG_Gys,it’s like a mini keyboard🤨⁉️,2024-11-25T19:00:21Z,46.0,4262,417,7
-RE-IZ6Ga-4,HER FACIAL EXPRESSIONS LOL,2024-11-24T19:00:00Z,7.0,11197,565,11
Cbx0XT2zSxE,THROWBACK TO THIS GEM🥹🥹,2024-11-23T19:00:07Z,33.0,11160,846,10
gp7sZO1DDfY,can you believe i used to be a ballerina…,2024-11-22T19:00:33Z,53.0,10929,685,10
Mu2BE9zlJGY,ballerina tries out different styles…,2024-11-21T19:00:11Z,12.0,297188,20343,43
6X2gE7RA-is,reminder that futuristic pointe shoes exist🩰⁉️,2024-11-20T19:00:08Z,16.0,43642,1834,12
hkUmhzakz64,where are you REALLY from🤔,2024-11-19T19:00:21Z,16.0,17708,878,10
TUw3JBRTixc,hiking ballet-ified🩰🎀,2024-11-18T19:00:22Z,8.0,11484,680,20
PqIi0olbZSI,this dance with mom🥹,2024-11-17T19:00:14Z,11.0,8901,574,8
fW9g1gtI5_g,my love language🤭🤫,2024-11-16T19:00:26Z,18.0,8262,541,4
s1Go1yzvRyI,SHORT FILMS vs MUSIC VIDEOS🎥🙉,2024-11-15T20:00:28Z,40.0,5161,442,6
0Yk5YJIF7O8,did i dazzle you..?,2024-11-14T19:00:01Z,9.0,10264,883,10
NHLTXTRjj_8,performing for you guys was a dream🥹‼️,2024-11-13T19:00:12Z,19.0,7432,595,7
USLe2PO_3iM,upcoming project⁉️👀,2024-11-12T19:00:17Z,10.0,7748,560,5
ShwS-GKc0Fc,ballet to singer arc,2024-11-10T19:00:12Z,18.0,105129,7614,19
geYNrQPrvHg,throwback to this gem,2024-11-09T20:00:14Z,12.0,7290,333,6
e0AsmsFDGDs,to all my dancers🥹🩰,2024-11-08T19:00:32Z,7.0,12312,947,8
yBhwMzU-Ui8,making past me tear up🥹🥹,2024-11-07T19:00:35Z,11.0,12369,825,9
FDVo2raXq-w,did past mikayla eat that up or what,2024-11-06T19:00:14Z,14.0,7984,497,5
5fgJTsGvziI,the best form of therapy.,2024-11-05T19:00:03Z,11.0,16056,1151,9
yu6KdCV2tBU,THE THROWBACKKK,2024-11-04T19:00:38Z,15.0,9728,708,9
3ld7oAFyaEY,"tour, anyone?👀",2024-11-03T19:00:02Z,8.0,12191,827,20
tzjyyjnLLyk,THE NEXT SABRINA OR TATE MCCRAE⁉️,2024-11-02T18:00:26Z,22.0,5924,442,14
uJAiS58Wcso,why does it fit perfectly…,2024-11-01T18:00:30Z,15.0,5566,371,4
LylRo83dSz0,halloween costume or reality🤔,2024-10-31T18:00:12Z,12.0,14249,886,10
05dcRFgn6_E,one year ago today🥹,2024-10-30T18:00:00Z,23.0,7932,669,5
7rYH506iYBM,edna mode is an icon.,2024-10-29T18:00:04Z,10.0,7398,761,6
1Fuv2AYeemQ,halloween costume with layers…,2024-10-28T18:00:01Z,20.0,7278,525,15
nB9DVxJdYNs,ultimate balance challenge,2024-10-26T18:00:33Z,19.0,13196,864,10
pUqFzVSQGAA,best photoshoot EVER,2024-10-25T18:00:34Z,17.0,6278,660,7
7xHm0kQn4kY,did the fit eat or WHAT,2024-10-24T18:00:05Z,12.0,5783,518,18
pEu83H59HJg,THE PHOTOGRAPHER COOKED🫧,2024-10-23T18:00:28Z,11.0,5910,615,6
rsSJpAk139U,MAMA A DIVA BEHIND YOU🪩🌸 so happy with “Pretty in Pink”🤗,2024-10-22T18:00:27Z,12.0,7400,643,12
p-pc7qGza5E,I FEEL LIKE A NEW ME💇🏻‍♀️💞,2024-10-21T18:00:36Z,15.0,12221,811,18
cXvbYHZ0y9U,PLEASE THATS ALL I NEED.,2024-10-20T18:00:18Z,8.0,5093,339,3
Nm9pfeMBkbQ,THE SABRINA CARPENTER TIGHTS😋💖,2024-10-19T18:00:10Z,25.0,14268,1095,5
XhfPXl1gvMc,but why is it lowkey a vibe…,2024-10-18T18:00:19Z,11.0,11911,755,15
hMcGZ5ASru4,PRETTY IN PINK IS BACK YALL🛼🎶,2024-10-17T18:00:33Z,34.0,7983,777,6
SH0RXx3DLiU,don’t mind the background🤗,2024-10-16T18:00:13Z,11.0,11539,646,7
-z_tSEfJieQ,THE AUDIO MATCHED SO PERFECTLY AT THE END⁉️,2024-10-15T18:00:00Z,21.0,12153,645,9
yHd5oR1aH5c,DAY IN THE LIFE: music artist🎶🎤,2024-10-14T18:00:36Z,35.0,16052,1250,8
OOVWXaPrqiQ,workout barbie is BACK🛼,2024-10-12T18:00:21Z,49.0,228533,19529,25
bi5ek7JFEoA,I’m hosting an event! 💕🫶🏼,2024-10-12T00:12:27Z,34.0,11840,1310,17
e9QHmYSc45w,"iconic, really",2024-10-11T18:00:21Z,9.0,10503,678,9
LmaGrekgg7Q,"friends to lovers arc, anyone?",2024-10-10T18:00:11Z,24.0,7790,475,6
K3oq6Gw3cGE,what dancers think about during a dance video💃😰,2024-10-09T18:00:12Z,53.0,8662,648,6
VIYAVR0gadM,i feel it in my SOUL😈😏,2024-10-08T18:00:14Z,15.0,17333,1408,11
GP-UHlrj7MQ,the truth behind dance videos LOL,2024-10-07T18:00:08Z,52.0,8583,658,7
ciXOALpleNQ,who is this DIVA🎥💃,2024-10-06T18:00:16Z,14.0,9405,586,6
0qqyW_VBAE8,and i LOVE IT,2024-10-05T18:00:01Z,11.0,9556,707,13
Gj2a7auTU-E,GRWM for heels class‼️ pink princess outfit💖,2024-10-04T18:00:09Z,58.0,9191,747,12
shCkBOqtMCc,the dance growth🤗💃,2024-10-03T18:00:35Z,16.0,50075,3625,17
uAqqbEu_xi8,TBT mama connie dances🥹,2024-10-02T18:00:36Z,16.0,11531,729,12
4M1a8bngwgA,HEELS DANCE with my song🤗,2024-10-01T18:00:02Z,16.0,16251,774,6
P75OYX_Pg60,pov you’re a singer,2024-09-30T18:00:12Z,6.0,8462,498,10
TxrAxAAnbsQ,tiktok filters got nothing on me😏,2024-09-29T18:00:24Z,15.0,20224,1115,15
lVyRUTC8c7w,day 1 of putting my song over dances i’ve done💃,2024-09-28T18:00:31Z,18.0,452994,28843,86
Z5hjYhqCx8E,tell me u did ballet without telling me,2024-09-27T18:00:28Z,9.0,82854,4950,28
h2rAakMTojc,when i first moved to LA🥹,2024-09-26T18:00:33Z,14.0,21078,1614,10
9lxqZ4tdSWk,is this giving pop princess or what,2024-09-25T18:00:06Z,15.0,17929,996,14
IjbiOAwrh4A,AND SHE ATE THAT UP,2024-09-24T18:00:14Z,12.0,19981,984,10
qyOg_lJyRa4,turn back to long hair🥹,2024-09-23T18:00:34Z,14.0,22476,1654,14
udPZGynKWzE,no because why does it fit so well…,2024-09-22T18:00:29Z,22.0,22109,1214,10
8Y93fMbUIp0,the photographer COOKED.,2024-09-21T18:00:09Z,12.0,16244,1328,16
5Y2L3zFLbzw,HER IMPROV AT THE END😭,2024-09-20T18:00:03Z,10.0,31700,1798,11
wlyovzfUvmY,never going back to full-time ballet OR long hair LOL🤭,2024-09-18T18:00:37Z,14.0,3416611,326168,852
z8uKqKQxUnI,the last pic is giving old hollywood vibes🎬,2024-09-17T18:00:36Z,23.0,9022,904,13
S36a04Ebd6I,like girl stoppp you’re making me blush😳😳,2024-09-16T18:00:22Z,9.0,17827,1640,11
fgT54pX9svk,SZA LIKED MY TIKTOK👀,2024-09-15T18:00:20Z,9.0,14138,1366,7
YCpYYD9dP5A,wait… why is she kinda cute,2024-09-14T18:00:30Z,11.0,21707,1466,10
p8ipnjhX3Tg,should i dye it🤭💇🏼‍♀️,2024-09-13T18:00:27Z,14.0,14430,903,44
kw0jGjMQOu4,GRWM for dance class👠 britney style💖,2024-09-12T18:00:20Z,60.0,16505,1400,16
nCUGJ4Cheu8,The fit is FITTING💖🤭,2024-09-11T18:00:26Z,11.0,11001,939,19
lpFvfTxacYY,Peep the Tamagotchi earrings🥹,2024-09-10T18:00:31Z,15.0,12767,934,9
6koFupBQEA8,hidden tracks🤭🤭,2024-09-09T18:00:06Z,21.0,14828,1071,12
bOLkxC3UuGw,When in an empty mall…🕺,2024-09-08T18:00:14Z,27.0,13786,1102,18
7WvixiMHTX8,dancing into your playlist🩰,2024-09-07T18:00:04Z,8.0,112882,7213,25
4PfFrGEyn7g,I LOVE MY MOM🥲,2024-09-06T18:00:01Z,9.0,14710,1426,14
wtGwa5sRVik,absolutely foul.,2024-09-04T18:00:36Z,10.0,10082,1052,19
cY_C6MP_RKs,thank you but WHAT.,2024-09-03T18:00:20Z,18.0,9026,839,14
dyHucBKhHck,sabrina carpenter dropped new music so i had to too🤗🙈,2024-09-02T18:00:16Z,13.0,8256,825,14
1S6k_2gwy2k,I SANG LIVE FOR THE FIRST TIME🙈,2024-09-01T18:00:01Z,11.0,12839,961,15
b02YgGCZhsU,the ex-ballerina is SHOWINGGG🙈🩰,2024-08-31T20:00:19Z,10.0,12166,722,3
